frame_id,timestamp,dt_ms,my_x,my_y,my_z,raw_kmh,pos_delta_kmh,v296_kmh,v296_delta_kmh,v296_source,latest_kmh,latest_delta_kmh,latest_source,diff_kmh
134,1788706265.4685,16.67,1843.100,217.159,2030.515,0.0,9.7,8.9,0.15,pos_only_smoothed,8.7,0.20,pos_only_smoothed,0.18
135,1788706265.4851,16.66,1843.114,217.159,2030.547,0.0,9.3,9.0,0.07,pos_only_smoothed,8.9,0.16,pos_only_smoothed,0.09
136,1788706265.5018,16.66,1843.141,217.159,2030.613,0.0,10.4,9.2,0.23,pos_only_smoothed,9.0,0.13,pos_only_smoothed,0.19
137,1788706265.5184,16.66,1843.155,217.159,2030.647,0.0,10.0,9.3,0.12,pos_only_smoothed,9.2,0.16,pos_only_smoothed,0.15
138,1788706265.5351,16.66,1843.184,217.160,2030.715,0.0,11.0,9.6,0.28,pos_only_smoothed,9.4,0.19,pos_only_smoothed,0.24
139,1788706265.5518,16.66,1843.198,217.160,2030.749,0.0,10.5,9.7,0.14,pos_only_smoothed,9.6,0.20,pos_only_smoothed,0.17
140,1788706265.5684,16.66,1843.228,217.160,2030.820,0.0,11.6,10.0,0.30,pos_only_smoothed,9.8,0.21,pos_only_smoothed,0.26
141,1788706265.5851,16.66,1843.243,217.160,2030.855,0.0,11.0,10.2,0.15,pos_only_smoothed,10.0,0.22,pos_only_smoothed,0.19
142,1788706265.6018,16.66,1843.258,217.160,2030.892,0.0,10.6,10.2,0.06,pos_only_smoothed,10.2,0.17,pos_only_smoothed,0.08
143,1788706265.6184,16.66,1843.288,217.160,2030.965,0.0,11.7,10.5,0.24,pos_only_smoothed,10.3,0.13,pos_only_smoothed,0.19
144,1788706265.6351,16.66,1843.304,217.160,2031.002,0.0,11.2,10.6,0.11,pos_only_smoothed,10.5,0.16,pos_only_smoothed,0.14
145,1788706265.6517,16.66,1843.336,217.161,2031.078,0.0,12.4,10.9,0.29,pos_only_smoothed,10.6,0.19,pos_only_smoothed,0.24
146,1788706265.6684,16.66,1843.352,217.161,2031.116,0.0,11.8,11.0,0.14,pos_only_smoothed,10.8,0.21,pos_only_smoothed,0.18
147,1788706265.6851,16.66,1843.368,217.161,2031.155,0.0,11.3,11.1,0.04,pos_only_smoothed,11.0,0.15,pos_only_smoothed,0.07
